appid,found_by
1737870,
2525310,3862f0ca-69f9-47c6-b5ae-a39c275bd989
2964540,87564d8c-7733-4e5e-8dc8-35368c58d183
3350750,87564d8c-7733-4e5e-8dc8-35368c58d183
2341070,87564d8c-7733-4e5e-8dc8-35368c58d183
1269950,87564d8c-7733-4e5e-8dc8-35368c58d183
2707300,87564d8c-7733-4e5e-8dc8-35368c58d183
2133760,
3164500,
490110,
1989070,
1511880,
1062520,
1529640,
1428090,
2066520,
1750030,
2836860,
3622010,
2418040,
219680,87564d8c-7733-4e5e-8dc8-35368c58d183
2744010,
1592170,3862f0ca-69f9-47c6-b5ae-a39c275bd989
1966720,3862f0ca-69f9-47c6-b5ae-a39c275bd989
1299460,
1674780,3862f0ca-69f9-47c6-b5ae-a39c275bd989
1830430,
2922570,
1957760,
924750,3862f0ca-69f9-47c6-b5ae-a39c275bd989
2725530,
3438850,
3293010,
3059070,3862f0ca-69f9-47c6-b5ae-a39c275bd989
1813860,3862f0ca-69f9-47c6-b5ae-a39c275bd989
916900,87564d8c-7733-4e5e-8dc8-35368c58d183
3562200,3862f0ca-69f9-47c6-b5ae-a39c275bd989